Location,Incident Type Desciption,tag,cnt
AV INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (AV INTERNATIONAL BLVD),435
INTERNATIONAL BLVD,ALARM-RINGER,ALARM-RINGER (INTERNATIONAL BLVD),342
INTERNATIONAL BLVD,911 HANG-UP,911 HANG-UP (INTERNATIONAL BLVD),331
BROADWAY,911 HANG-UP,911 HANG-UP (BROADWAY),316
INTERNATIONAL BLVD,SECURITY CHECK,SECURITY CHECK (INTERNATIONAL BLVD),298
HAWTHORNE AV,MENTALLY ILL,MENTALLY ILL (HAWTHORNE AV),293
HEGENBERGER RD,OBSTRUCT PERSON'S MO,OBSTRUCT PERSON'S MO (HEGENBERGER RD),270
MACARTHUR BLVD,ALARM-RINGER,ALARM-RINGER (MACARTHUR BLVD),229
BROADWAY,ALARM-RINGER,ALARM-RINGER (BROADWAY),227
ST TELEGRAPH AV,SECURITY CHECK,SECURITY CHECK (ST TELEGRAPH AV),225
